Table S1. Processed bacterial abundance data used for statistical analysis and comparisons between groups (log10-transformed),,,,,,,,,,,,,,,,,,,,
#NAME,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE
ASV40,3.528578257,3.412303752,3.446677743,3.955214998,3.411811091,3.412830498,3.909199381,2.959165796,3.411610149,3.321301393,3.413707841,3.413707841,3.407955975,3.406300183,3.690971194,4.283235002,3.413823711,4.127699804,3.41408254,3.414038151
ASV41,3.891394678,3.842629505,1.240352548,0.422029634,1.822991688,3.412830498,3.043883395,0.004321374,3.78370099,3.624135962,3.413707841,3.413707841,0.981244668,0.004321374,0.004321374,1.739254128,3.775945957,3.688424312,3.80000513,3.919065806
ASV42,3.867485709,3.80787265,1.214954241,0.411379072,1.8106921,3.412830498,3.037869879,0.004321374,3.829451263,3.652158171,3.413707841,3.413707841,0.97644471,0.004321374,0.004321374,1.725032678,3.812152252,3.609261043,3.765248817,3.899763053
ASV44,3.412979366,3.161321384,3.908116825,3.410327975,3.411811091,3.412830498,4.090804651,2.722330117,2.70615876,2.608655947,3.413707841,3.413707841,3.407955975,3.406300183,4.324374931,4.072395917,3.413823711,3.134264971,3.41408254,3.414038151
ASV45,3.31388463,4.090386588,3.683511888,3.83924599,4.168160008,3.412830498,3.573470349,0.004321374,1.477912147,2.659753126,3.658433561,3.467850106,2.937600973,3.406300183,3.684120443,3.613073225,3.413823711,3.150336439,3.41408254,3.414038151
ASV46,3.875602497,3.825598686,1.34131866,0.468044447,1.8106921,3.412830498,3.053470699,0.004321374,3.577690328,3.652158171,3.413707841,3.413707841,1.053301468,0.004321374,0.004321374,1.812776346,3.756644142,3.630445206,3.821720989,3.869098276
ASV47,3.68730849,3.631815525,1.338648392,0.520226097,1.768164657,3.412830498,3.033939054,0.004321374,3.577690328,3.749048642,3.413707841,3.413707841,1.049445464,0.004321374,0.004321374,1.829403126,3.78528442,3.723179504,3.871687776,3.879562298
ASV48,3.776692135,2.907894248,3.447488349,2.198866929,3.411811091,2.572542449,3.448570651,0.004321374,1.37033321,2.707861502,3.79973596,3.877933282,4.143179122,3.192029503,3.747777144,3.391295746,3.251974559,3.167224959,3.41408254,3.414038151
ASV49,3.097743209,3.290965314,3.449554158,4.276114419,3.411811091,3.412830498,2.864391149,1.745741077,1.959771026,3.412924693,4.260421313,4.011811447,1.611476151,2.082980364,2.489479716,3.040876599,3.443223048,3.57089854,3.549514921,3.402556791
ASV50,3.590421005,3.573838206,1.254894664,0.496189576,1.900259297,3.412830498,3.019597846,0.004321374,3.73255749,3.448096812,3.413707841,3.413707841,1.047708439,0.004321374,0.004321374,1.784991486,3.884023947,3.706149484,3.890168726,3.774842733
ASV51,3.786674689,3.603793628,1.240416987,0.468479024,1.900259297,3.412830498,3.019287164,0.004321374,3.793244739,3.448096812,3.413707841,3.413707841,1.009331545,0.004321374,0.004321374,1.741162888,3.725980943,3.688424312,3.777146005,3.836102697
ASV52,3.824457276,3.789392213,1.313282787,0.45589495,1.8106921,3.412830498,3.047396553,0.004321374,3.621882765,3.652158171,3.413707841,3.413707841,1.097202392,0.004321374,0.004321374,1.802315885,3.829182991,3.609261043,3.714105709,3.718736951
ASV53,3.745289172,3.68295667,1.293770852,0.490440796,1.900259297,3.412830498,3.033777428,0.004321374,3.674577142,3.448096812,3.413707841,3.413707841,1.107229053,0.004321374,0.004321374,1.790090423,3.766402272,3.799554468,3.832184848,3.654292374
ASV54,3.412979366,3.173182963,3.72362109,3.410327975,3.411811091,3.412830498,2.713956718,2.733523114,2.73949882,2.639777921,3.413707841,3.413707841,3.407955975,3.406300183,4.465988895,4.201825585,3.413823711,3.14746645,3.41408254,3.414038151
ASV56,3.289503633,3.469134769,1.566496266,0.818802386,1.650912641,2.576643919,3.87444178,0.004321374,3.1721042,4.016184451,3.413707841,3.413707841,4.122977238,0.004321374,0.355858509,2.014101082,3.435494886,3.153529345,3.163414699,3.720690143
ASV57,3.805976728,3.749890456,1.258456256,0.466032528,1.850262788,3.412830498,3.036179919,0.004321374,3.753742922,3.562004089,3.413707841,3.413707841,1.052195786,0.004321374,0.004321374,1.757141705,3.736444414,3.422232472,3.656125865,3.747695239
ASV58,3.286198359,3.077253289,3.411263512,3.410327975,1.609413432,3.412830498,3.949066151,2.571479728,2.021682368,4.110732291,3.413707841,4.435532121,2.806187576,3.406300183,3.408837157,3.41109121,3.64898459,3.413598658,3.606486534,3.727917031
ASV59,3.412979366,3.170077925,3.771917045,3.103574606,3.411811091,3.412830498,4.265047805,2.730593093,2.730771301,2.634072739,3.413707841,3.413707841,3.407955975,3.406300183,3.675850714,4.053914125,3.413823711,3.144010663,3.41408254,3.414038151
ASV60,3.57463091,3.68295667,1.293503669,0.576321886,1.865516273,3.412830498,3.032453482,0.004321374,3.698705806,3.527252004,3.413707841,3.413707841,1.038216105,0.004321374,0.004321374,1.802063844,3.644692975,3.723179504,3.810998777,3.824522553
ASV62,3.711437299,3.728705058,1.246010667,0.497381219,2.032319647,3.412830498,3.03240081,0.004321374,3.78370099,3.147223106,3.413707841,3.413707841,1.131373187,0.004321374,0.004321374,1.757317853,3.715259139,3.609261043,3.842402512,3.511662681
ASV63,3.815315295,3.770090295,1.25765667,0.500165175,1.968219907,3.412830498,3.036572079,0.004321374,3.78370099,3.29326184,3.413707841,3.413707841,1.08534556,0.004321374,0.004321374,1.746147653,3.590348567,3.706149484,3.589195212,3.636567658
ASV64,3.674722013,3.68295667,1.280350801,0.518670135,1.900259297,3.412830498,3.031818108,0.004321374,3.710285369,3.448096812,3.413707841,3.413707841,1.03520087,0.004321374,0.004321374,1.786029609,3.725980943,3.563515536,3.656125865,3.824522553
ASV65,0.004321374,0.004321374,1.331516093,0.588492558,1.882097338,3.412830498,3.030024701,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.090133795,0.004321374,0.004321374,1.802954286,0.004321374,4.357360464,0.004321374,0.004321374
ASV66,3.699540443,3.631815525,1.290360073,0.602053248,1.920335683,3.412830498,3.023220295,0.004321374,3.649028662,3.489475286,3.413707841,3.413707841,1.027996649,0.004321374,0.004321374,1.793605703,3.493466717,3.799554468,3.832184848,3.718736951
ASV67,3.558244986,3.603793628,1.307572578,0.560099121,1.865516273,3.412830498,3.019536216,0.004321374,3.721564187,3.40235669,3.413707841,3.413707841,1.07280999,0.004321374,0.004321374,1.795779408,3.560393391,3.563515536,3.832184848,3.836102697
ASV68,3.661759847,3.541662524,1.321534124,0.556270209,1.900259297,3.412830498,3.063747264,0.004321374,3.674577142,3.527252004,3.413707841,3.413707841,1.082941712,0.004321374,0.004321374,1.823732764,3.61837025,3.669944815,3.740429664,3.747695239
ASV69,3.412979366,3.153424258,0.004321374,3.410327975,3.411811091,3.412830498,2.701526224,2.714878115,2.683961828,2.586352552,3.413707841,3.413707841,3.407955975,3.406300183,0.004321374,0.004321374,3.413823711,3.125475775,3.41408254,3.414038151
ASV70,0.004321374,0.004321374,1.319870746,0.568774836,1.8106921,3.412830498,3.027200339,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.113881695,0.004321374,0.004321374,1.808220503,0.004321374,0.004321374,0.004321374,0.004321374
ASV71,3.648398872,3.603793628,1.281350445,0.55391584,1.865516273,3.412830498,3.006096215,0.004321374,3.649028662,3.652158171,3.413707841,3.413707841,1.074182985,0.004321374,0.004321374,1.790228032,3.61837025,3.739566847,3.686082633,3.654292374
ASV72,3.57463091,3.427756976,1.346305927,0.63861168,1.836139965,3.412830498,3.022427571,0.004321374,3.710285369,3.527252004,3.413707841,3.413707841,1.114674866,0.004321374,0.051404831,1.824662067,3.715259139,3.563515536,3.753016513,3.718736951
ASV73,0.004321374,0.004321374,1.289000971,0.557276917,1.997588051,3.412830498,3.024474541,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.088632083,0.004321374,0.004321374,1.79776067,0.004321374,0.004321374,0.004321374,0.004321374
ASV74,3.57463091,3.541662524,1.304297162,0.522858933,1.920335683,3.412830498,3.037717298,0.004321374,3.621882765,3.594180183,3.413707841,3.413707841,1.156603164,0.004321374,0.004321374,1.78108038,3.474989434,3.826702496,3.765248817,3.671321973
ASV75,3.590421005,3.603793628,1.355897179,0.616390995,1.968219907,3.412830498,3.032880185,0.004321374,3.698705806,3.226352262,3.413707841,3.413707841,1.117088127,0.004321374,0.084016457,1.87156102,3.692987191,3.586990324,3.714105709,3.687708927
ASV76,3.796432933,3.728705058,1.277870191,0.572597582,3.411811091,3.412830498,2.999101568,0.004321374,3.686809021,3.502515929,3.413707841,3.413707841,1.074300811,0.004321374,0.004321374,1.763185946,3.590348567,3.586990324,3.589195212,3.511662681
ASV77,3.422069926,3.603793628,1.327060574,0.527608831,3.411811091,3.412830498,3.018924914,0.004321374,3.545514566,3.499365173,3.413707841,3.413707841,1.173509498,0.004321374,0.004321374,1.804494214,3.766402272,3.669944815,3.777146005,3.718736951
ASV78,3.661759847,3.382017687,1.367862714,0.610570248,1.8106921,3.412830498,3.050575782,0.004321374,3.753742922,0.004321374,3.413707841,3.413707841,1.13899466,0.004321374,0.079952289,1.874977696,3.528217992,3.826702496,3.671362493,3.687708927
ASV79,3.73429581,3.506910919,1.32248334,0.590609143,1.968219907,3.412830498,3.024181095,0.004321374,3.621882765,0.004321374,3.413707841,3.413707841,1.134335008,0.004321374,0.009962106,1.812422504,3.681407722,3.799554468,3.656125865,3.511662681
ASV80,3.416290987,3.130098589,3.411263512,3.410327975,3.411811091,3.412830498,0.004321374,2.959165796,2.044311405,3.331516892,0.004321374,0.004321374,2.901100537,0.004321374,3.659514786,0.004321374,3.413823711,3.563515536,3.41408254,3.414038151
ASV82,3.605657088,3.206487908,0.004321374,2.123163664,0.004321374,2.71244385,2.208717991,0.004321374,2.803701636,2.721238514,0.004321374,3.413707841,0.004321374,3.178639894,0.004321374,0.004321374,3.27892118,3.172888484,3.41408254,3.414038151
ASV83,0.004321374,0.004321374,1.298056897,0.560031042,1.920335683,3.412830498,3.01886505,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.19680881,0.004321374,0.004321374,1.796448067,0.004321374,3.931423838,0.004321374,0.004321374
ASV84,4.01242467,3.421283914,1.71485064,1.700736041,1.586044481,3.412830498,2.671019274,0.401944437,0.004321374,0.004321374,3.413707841,3.413707841,2.490288584,0.997925197,0.716872834,1.765122644,3.652033564,3.413598658,0.004321374,3.731986621
ASV85,3.620376719,3.541662524,1.326999313,0.660281883,1.968219907,3.412830498,3.020226835,0.004321374,3.686809021,3.40235669,3.413707841,3.413707841,1.203271312,0.004321374,0.058828556,1.821256098,3.657279263,3.609261043,3.589195212,3.402556791
ASV86,3.444338022,0.004321374,1.334707543,0.655883806,3.411811091,3.412830498,3.030757816,0.004321374,3.528486223,3.499694561,3.413707841,3.413707841,1.299637453,0.004321374,0.06836804,1.835640818,0.004321374,0.004321374,4.117389494,0.004321374
ASV87,3.485716373,3.541662524,1.371260924,0.609971714,1.920335683,3.412830498,3.003608188,0.004321374,3.661990744,3.29326184,3.413707841,3.413707841,1.120143651,0.004321374,0.034869918,1.81595522,3.474989434,3.755358261,3.753016513,3.402556791
ASV88,3.412979366,3.167956625,0.004321374,3.410327975,3.411811091,2.603417905,2.110174812,0.661351191,2.724808834,2.71472422,3.413707841,3.413707841,0.004321374,0.004321374,3.408837157,3.41109121,3.257921527,3.141649738,3.41408254,3.414038151
ASV89,3.49577441,3.600469214,3.411263512,3.410327975,0.004321374,3.412830498,0.004321374,0.004321374,3.429246839,3.412924693,0.004321374,3.413707841,2.05062344,2.162388403,3.408837157,3.41109121,3.44569,3.58409786,3.560879299,3.687708927
ASV90,0.004321374,0.004321374,1.361088203,0.611362588,1.850262788,3.412830498,3.039093634,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.152911002,0.004321374,0.047062129,1.83897253,0.004321374,0.004321374,0.004321374,0.004321374
ASV92,3.412979366,3.136611739,0.004321374,0.004321374,3.411811091,2.703157105,2.164450651,0.886507037,2.636705859,2.62515896,3.413707841,3.413707841,0.004321374,3.406300183,3.408837157,3.41109121,3.277132446,3.10676409,3.41408254,3.414038151
ASV93,3.620376719,2.03566259,0.004321374,2.127745719,0.004321374,0.004321374,2.113909028,0.004321374,1.599238657,1.628639075,0.004321374,0.004321374,0.004321374,3.178471336,0.004321374,0.004321374,3.544603594,3.30833889,2.227127445,2.272306446
ASV94,0.004321374,1.644577039,0.004321374,2.353779607,0.004321374,3.411287214,0.004321374,1.420465917,0.004321374,0.004321374,3.412164558,3.412164558,3.406412692,3.21815853,4.329575877,4.154576271,0.004321374,0.004321374,1.851536916,1.871589198
ASV95,0.004321374,3.317466741,3.411263512,2.376810161,3.411811091,3.412830498,2.864391149,1.696766995,2.094401351,3.335651398,3.413707841,0.004321374,1.673295671,1.124716843,2.690320567,0.004321374,3.442944723,3.569409371,0.004321374,0.004321374
ASV96,0.004321374,0.004321374,1.389444355,0.617549359,2.032319647,3.412830498,3.026035959,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.14842111,0.004321374,0.093356536,1.875111801,0.004321374,0.004321374,0.004321374,0.004321374
ASV97,0.004321374,0.004321374,0.004321374,3.408220382,0.004321374,2.075082835,0.004321374,0.004321374,0.004321374,0.004321374,3.411600248,3.411600248,0.004321374,3.404192591,4.31378237,3.408983617,1.128866624,1.069841591,1.280710241,1.312716013
ASV98,3.9944531,0.004321374,1.396420123,0.682248782,2.129602709,3.412830498,3.042765961,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.185587615,0.004321374,0.130400594,1.880945615,0.004321374,0.004321374,0.004321374,0.004321374
ASV99,2.850213569,2.360844845,4.100579095,2.269881567,3.536234636,0.004321374,1.839232358,1.581496974,2.798638712,2.717255057,0.004321374,3.413707841,1.430789731,0.528257312,2.082993209,0.004321374,0.004321374,0.004321374,3.41408254,3.414038151
ASV100,3.222594378,0.004321374,1.358521861,0.654657548,1.850262788,3.412830498,3.00792562,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.141831463,0.004321374,0.077220117,1.836056528,0.004321374,0.004321374,4.182027699,3.370385462
ASV101,3.523492988,3.506910919,1.442125912,0.677304155,1.920335683,3.412830498,3.022609123,0.004321374,3.492285347,3.147223106,3.413707841,3.413707841,1.158161637,0.004321374,0.161104108,1.9039598,3.681407722,3.484358257,3.55141692,3.671321973
ASV102,0.004321374,0.004321374,1.503714807,0.004321374,3.410409047,0.004321374,0.004321374,0.004321374,0.004321374,2.152907708,3.412305797,3.412305797,0.209763232,1.957657164,3.949393385,0.004321374,0.004321374,0.004321374,1.986781633,1.995067415
ASV103,3.301480046,2.894762152,0.004321374,0.004321374,3.411811091,3.412830498,0.004321374,2.748851498,1.357490468,2.701351861,0.004321374,0.004321374,2.878722384,3.406300183,0.004321374,0.004321374,3.413823711,3.165545373,3.41408254,3.414038151
ASV104,0.004321374,0.004321374,1.475143904,0.693814466,1.942778166,3.412830498,3.05479063,0.004321374,0.004321374,0.004321374,3.413707841,3.413707841,1.209061525,0.004321374,0.202977962,1.943310381,3.945673265,3.650643923,0.004321374,0.004321374
ASV105,3.523492988,3.382017687,1.349489108,0.638755987,3.411811091,3.412830498,3.027259447,0.004321374,3.592926295,3.498673267,3.413707841,3.413707841,1.1998931,0.004321374,0.072187115,1.846425597,3.493466717,3.26260536,3.700320157,3.618088656
ASV106,2.710609043,2.289854085,0.004321374,0.004321374,3.411811091,0.004321374,1.774128678,2.730593093,2.730771301,2.633297403,3.413707841,3.413707841,1.319650891,3.406300183,2.740668889,0.004321374,3.413823711,3.144010663,3.41408254,3.414038151
ASV108,0.004321374,0.004321374,1.605816408,0.85110389,0.004321374,3.412830498,0.004321374,0.004321374,4.033546884,3.487629497,3.413707841,3.413707841,2.593858597,0.004321374,0.377971307,2.014270085,0.004321374,0.004321374,0.004321374,3.414038151
ASV109,3.412979366,3.412303752,3.411263512,3.410327975,3.411811091,2.600618834,2.261820612,0.884776799,3.411610149,3.412924693,3.413707841,3.413707841,0.004321374,0.004321374,3.76707889,3.41109121,3.257382394,3.413598658,3.41408254,3.414038151
ASV110,3.412979366,3.412303752,3.411263512,3.410327975,1.968219907,3.412830498,3.270182045,0.004321374,3.598554167,3.351225877,3.413707841,3.413707841,3.407955975,3.406300183,0.004321374,0.004321374,3.6021707,3.413598658,3.568184332,3.66543261
ASV111,3.485716373,3.573838206,1.391832644,0.643702264,3.411811091,3.412830498,2.994694664,0.004321374,3.592926295,3.496709998,3.413707841,3.413707841,1.242649972,0.004321374,0.09964567,1.857345921,3.590348567,3.630445206,3.606919461,3.460527038
ASV112,0.004321374,4.391398772,1.445630582,0.71169145,1.997588051,3.412830498,3.029365304,0.004321374,3.936647022,0.004321374,3.413707841,3.413707841,1.21440532,0.004321374,0.170667431,1.89636269,0.004321374,0.004321374,0.004321374,0.004321374
ASV113,0.004321374,0.004321374,1.382912612,0.737406462,3.411811091,3.412830498,3.01840866,0.004321374,0.004321374,3.497931912,3.413707841,3.413707841,1.149910396,0.004321374,0.153433684,1.867495519,0.004321374,0.004321374,0.004321374,0.004321374
ASV114,0.004321374,0.004321374,1.392988505,0.677439629,3.411811091,3.412830498,2.999531549,0.004321374,0.004321374,3.497540379,3.413707841,3.413707841,1.222563661,0.004321374,0.100752095,1.841325898,0.004321374,0.004321374,0.004321374,0.004321374
