Table S8. Normalized and imputed Genus abundance quantification table for all samples (log10-transformed),,,,,,,,,,,,,,,,,,,,,,
Genus,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE,TOTAL,PERCENTAGE
Alicycliphilus,0.004321374,0.004321374,0.004321374,3.491550531,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.573656637,0.018169163
Aliicoccus,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.733287662,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.815393768,0.014314008
Alishewanella,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,40.82522806,3.6075568,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,0.05617786,45.44398634,0.231046039
Alkanindiges,0.03024962,0.03024962,0.03024962,10.15505545,0.03024962,4.15335152,0.03024962,3.85953556,3.88879845,0.03024962,0.03024962,3.98101802,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,26.4915033,0.13468794
Alloprevotella,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.016626995,0.004321374,0.004321374,0.004321374,3.098733101,0.01575456
Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium,0.03024962,0.03024962,3.69520272,3.7190716,0.03024962,3.59713405,8.05925292,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,0.03024962,7.35390016,0.03024962,0.03024962,0.03024962,0.03024962,26.87830575,0.136654519
Altererythrobacter,0.008642748,0.008642748,0.008642748,3.77663116,0.008642748,3.893529384,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,7.825730008,0.039787529
Amaricoccus,0.01296412,0.01296412,0.01296412,3.72591498,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,3.92336438,0.01296412,0.01296412,3.7800458,0.01296412,0.01296412,0.01296412,0.01296412,11.6497152,0.059229411
Ammoniphilus,0.004321374,0.004321374,0.004321374,3.564079439,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.646185545,0.018537914
Anaerococcus,11.99316885,7.38013611,9.25155583,2.89061274,9.35774192,6.56722113,0.08642748,5.10469085,0.08642748,0.08642748,3.49581394,3.49581394,12.95935792,2.22894196,1.82974009,16.70705988,7.27734835,3.49570476,7.30018997,3.7969235,115.3913042,0.586671768
Angustibacter,0.008642748,0.008642748,3.776238419,0.008642748,0.008642748,0.008642748,0.008642748,3.052137253,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,6.983945136,0.035507731
Antarcticibacterium,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.524675117,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.606781223,0.018337575
Antricoccus,0.004321374,0.004321374,3.470961206,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.553067312,0.018064483
Aquabacterium,0.02592824,0.02592824,3.84720015,0.02592824,0.02592824,3.60984149,0.02592824,6.6513474,0.02592824,0.02592824,0.02592824,0.02592824,0.02592824,0.02592824,3.02937399,3.38295212,0.02592824,0.02592824,0.02592824,0.02592824,20.90963875,0.106308658
Aquicella,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.093534077,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.175640183,0.016145571
Arboricoccus,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,7.797984887,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,7.962197099,0.040481354
Arcobacter,0.03889236,0.03889236,0.03889236,10.96466429,0.03889236,3.62280561,0.03889236,3.61922713,3.27918045,0.03889236,0.03889236,0.03889236,3.68049306,8.21880595,0.03889236,0.03889236,0.03889236,0.03889236,0.03889236,0.03889236,33.92966953,0.17250502
Arcticibacter,0.004321374,0.004321374,0.004321374,3.228426943,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.310533049,0.016831392
Arenimonas,0.02160687,3.29021071,1.65572685,1.11876034,3.30556365,13.53846767,3.04208453,0.02160687,0.02160687,3.30556365,3.30556365,3.30556365,1.6818322,0.02160687,0.62997929,2.12095016,0.02160687,3.30556365,0.02160687,0.02160687,43.75707809,0.222469471
Arthrobacter,0.0172855,0.0172855,0.0172855,3.8944019,0.0172855,3.4167342,0.0172855,0.0172855,3.5748645,0.0172855,0.0172855,4.0749375,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,15.2375061,0.077470436
Arthrospira_PCC_7345,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.955711127,3.037817233,0.015444852
Asaccharospora,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.693037797,0.004321374,0.004321374,0.004321374,0.004321374,2.775143903,0.01410937
Atopobium,0.004321374,0.004321374,3.804911878,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.887017984,0.019762353
Atopostipes,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.319486332,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.401592438,0.017294356
Aureimonas,0.004321374,3.842629505,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.924735611,0.019954117
Auricoccus_Abyssicoccus,0.008642748,0.008642748,0.008642748,2.756145205,0.008642748,0.008642748,0.008642748,2.700445591,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,5.61216026,0.028533311
Bacillus,0.2074259,50.464838,0.2074259,25.532428,4.0845029,36.0428665,4.0495215,9.4573647,7.6381981,17.2643459,0.2074259,0.2074259,3.7820964,0.2074259,0.2074259,6.5379147,0.2074259,0.2074259,0.2074259,8.082831,174.8037408,0.888736117
Bacteroides,0.0172855,0.0172855,0.0172855,3.3083008,0.0172855,0.0172855,0.0172855,3.06078,0.0172855,3.1601872,0.0172855,0.0172855,3.4422412,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,13.2480772,0.067355794
Bdellovibrio,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,3.038233532,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,3.581191723,0.008642748,0.008642748,0.008642748,0.008642748,6.774994719,0.034445387
Bergeyella,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,3.353756916,0.008642748,3.328158728,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,6.837485108,0.0347631
Bifidobacterium,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,3.273828811,0.008642748,0.008642748,0.008642748,3.668411806,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,7.097810081,0.036086643
Blastocatella,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.535003875,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.617109981,0.018390089
Blastococcus,0.06049923,3.59784038,3.76683648,3.71041149,0.06049923,17.59113711,0.06049923,7.73083015,2.88621338,0.06049923,0.06049923,3.60832249,3.78640332,0.06049923,0.06049923,3.55009844,0.06049923,0.06049923,0.06049923,0.06049923,50.89358477,0.258752855
Blastomonas,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,4.268622545,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,4.350728651,0.022119948
Blautia,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,3.459383353,0.008642748,0.008642748,3.827534768,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,7.442487585,0.03783905
Bosea,3.5919164,0.02160687,0.02160687,6.78842122,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,7.94820878,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,0.02160687,18.69586319,0.095053394
Brachybacterium,0.0172855,0.0172855,8.1758793,0.0172855,0.0172855,0.0172855,0.0172855,4.040684,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,4.2019293,0.0172855,0.0172855,16.7123461,0.084968809
Bradyrhizobium,7.33030229,7.35723968,6.57222414,5.99094304,1.8177136,6.49893097,0.03457099,0.03457099,16.08038151,7.55384307,6.85256305,3.44395746,3.43820559,0.03457099,3.6890207,0.03457099,7.37899185,6.08393257,6.24072698,6.3679299,102.8351904,0.52283405
Brevibacillus,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.42858409,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.510690196,0.01784903
Brevibacterium,3.76689604,0.02592824,0.02592824,3.49296075,0.02592824,0.02592824,0.02592824,3.51286871,0.02592824,0.02592824,0.02592824,0.02592824,3.58212029,0.02592824,0.02592824,3.23690043,0.02592824,4.0779566,0.02592824,0.02592824,22.03269818,0.11201851
Brevundimonas,0.04321374,3.72184903,7.88298545,7.17787745,0.04321374,0.04321374,0.04321374,0.04321374,3.16963339,0.04321374,0.04321374,4.05947688,3.38388355,0.04321374,3.80597125,3.33332263,0.04321374,0.04321374,3.32717052,0.04321374,40.33752129,0.205083781
Brochothrix,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.312821753,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.394927859,0.017260472
Brumimicrobium,0.004321374,0.004321374,0.004321374,3.149297539,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.231403645,0.016429083
Bryobacter,0.008642748,0.008642748,0.008642748,3.515170911,0.008642748,0.008642748,0.008642748,3.052137253,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,6.722877628,0.034180414
Buchnera,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,2.96043246,0.01296412,3.00535521,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,2.82639689,0.01296412,0.01296412,0.01296412,0.01296412,9.0125746,0.045821677
Burkholderia_Caballeronia_Paraburkholderia,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.840150003,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.922256109,0.019941511
Butyrivibrio,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.775943454,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,2.85804956,0.014530878
Caenimonas,0.004321374,0.004321374,0.004321374,3.848018644,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.93012475,0.019981516
CAG_352,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,4.092460143,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,4.174566249,0.021224304
Campylobacter,0.004321374,0.004321374,4.037197584,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,4.11930369,0.020943339
Candidatus_Accumulibacter,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,8.87137324,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,9.11769152,0.046356112
Candidatus_Alysiosphaera,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.349435543,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.431541649,0.017446623
Capnocytophaga,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,3.68703277,0.01296412,0.01296412,0.01296412,0.01296412,0.01296412,2.63229009,0.01296412,0.01296412,0.01296412,0.01296412,3.4643337,0.01296412,0.01296412,0.01296412,10.0040466,0.050862513
Cardiobacterium,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.348649377,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.430755483,0.017442626
Carnobacterium,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,6.784529273,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,6.948741485,0.035328749
Catenisphaera,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.1721042,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.254210306,0.016545036
Cavicella,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.173442366,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,0.004321374,3.255548472,0.01655184
Cellulomonas,0.0172855,0.0172855,0.0172855,3.741816,0.0172855,3.4872894,0.0172855,3.2525252,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,0.0172855,3.759548,0.0172855,0.0172855,0.0172855,0.0172855,14.5177466,0.073811039
Chryseobacterium,0.1080343,0.1080343,7.2967487,3.8325649,0.1080343,3.5074831,0.1080343,3.3732204,0.1080343,0.1080343,8.4009624,0.1080343,64.8571838,0.1080343,0.1080343,0.1080343,0.1080343,0.1080343,0.1080343,0.1080343,92.7806435,0.471714784
Chryseomicrobium,2.625643239,0.008642748,0.008642748,0.008642748,0.008642748,3.709034927,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,6.49024763,0.032997678
Chthoniobacter,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,5.825083168,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,0.008642748,5.98929538,0.030450739
Citricoccus,0.05185649,0.05185649,39.32052688,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,0.05185649,40.30580019,0.204922504
