Table S10. Processed feature quantification table of metabolomics data (log2-transformed),,,,,,,,,,,,,,,,,,,,,,,
feature,QC1,QC2,QC3,S10HC,S10HE,S1HC,S1HE,S2HC,S2HE,S3HC,S3HE,S4HC,S4HE,S5HC,S5HE,S6HC,S6HE,S7HC,S7HE,S8HC,S8HE,S9HC,S9HE
feature,QC,QC,QC,NEA,NEH,EA,EH,EA,EH,EA,EH,EA,EH,EA,EH,NEA,NEH,NEA,NEH,NEA,NEH,NEA,NEH
633.472223896188_28.334448,1.599361432,4.337573486,3.164329264,1.246356828,0.893207261,0.748210146,9.954519152,1.507546467,3.862849435,0.673878614,0.48572069,2.182484455,0.649699276,0.550156399,3.149128994,1.073463796,1.212261171,0.55931029,0.703429899,0.103364196,0.299954446,1.522375071,0.746589829
573.295729244155_24.417372,2.842640751,2.000662159,2.168226238,3.892862982,3.389268006,3.848007283,9.93119919,4.362632823,6.276589999,3.89664823,4.324154265,3.887980999,4.266902767,4.528436994,3.172490841,3.002393889,3.367265468,3.108355944,0.951206036,3.818646283,3.126145318,3.720940484,2.814229726
627.955657121608_27.048138,1.909428956,1.652734184,2.682446163,0.132075393,1.164557483,0.081669286,9.908714825,1.948470407,2.85021369,1.176036206,1.220170039,0.094459776,2.09347037,2.632222799,0.857643525,0.876162055,1.090994116,0.844557233,1.488333715,1.624702697,1.020672703,1.688414479,0.061435667
829.627184976086_26.88598,5.048271909,1.325236814,6.186202354,4.001060913,0.09297184,2.067760785,3.899679841,6.005152015,5.198945759,1.293874263,1.116070114,12.320105,4.230377007,3.512087367,2.589632468,5.03580804,5.504294332,4.416245584,4.386440555,0.525684838,0.315464492,4.562060356,2.357158434
288.254617637625_23.434868,13.0945303,12.36147593,12.03608868,10.46731892,14.0740318,6.652938369,9.137071059,7.854044912,14.18986709,2.347892824,4.724540856,5.491929787,5.266634884,6.439300526,11.50129892,4.603066427,11.09842363,4.353162451,8.518012286,7.839156677,11.31389662,4.466460059,8.742301504
371.245318032679_24.560457,5.716536342,10.22186214,3.975162596,3.449456752,11.00194172,6.023253697,6.540455631,6.726899062,5.587834613,9.175413477,8.651961165,5.34141379,5.770600305,3.768579466,5.597729406,6.6738965,6.846193237,5.522666855,10.65776295,4.489542937,11.57896801,6.66937238,12.55247911
683.543709119886_26.825579,3.954142041,3.379854423,3.553983839,0.132075393,2.137503674,6.378723961,3.019071283,14.96735764,7.220262995,8.337186873,5.252342165,8.829589951,8.404442604,11.20124019,7.721910753,8.02380499,3.021909476,7.92966324,4.858723103,1.594015693,1.828940715,1.312418977,0.972112493
666.439428547442_27.392366,0.326863534,10.70515052,1.148019469,1.10926324,0.796791716,1.202741763,2.4102271,1.140260501,0.35579515,0.712665757,1.327801331,1.631794122,1.270430112,0.846100519,1.069624941,1.443973522,1.119941265,0.730260387,1.344387237,0.737758611,0.062531428,0.092210581,0.061435667
597.460094763612_25.712034,2.112862974,8.093866546,1.243475808,2.703109103,0.951395001,0.950284993,2.885412644,1.116433569,2.290333684,1.962146273,2.03265846,10.63681057,2.121441845,2.047131827,2.29383582,0.789020144,2.441536328,3.605288278,2.796446172,2.171727457,2.458783749,1.859781851,2.34244923
657.248973865154_12.948665,0.852696026,0.852010445,0.796445564,12.63034379,2.943214369,4.257722484,1.391900808,7.684874925,1.637557841,4.398479365,2.670919606,6.011705044,2.393882498,1.926488774,3.344515415,5.450580808,1.286400426,3.435024318,3.6363492,6.791128852,3.385187776,4.880556974,2.402162279
376.261029557671_19.538874,9.488242461,11.7864819,9.963861071,1.184135759,1.152469,9.552034987,10.16925814,7.942665817,7.600103174,7.229983203,10.39669868,7.003537097,8.3488723,9.149141467,11.84439251,7.172562723,10.88261285,11.36235025,11.77731722,0.939442211,2.316630125,0.567349765,2.371761606
452.839799307743_26.451529,1.325448691,2.445023559,1.327370739,1.669013138,1.685605756,1.617035343,9.843939991,1.844644315,0.820979595,1.762492365,1.470439078,1.07878586,0.940928487,1.865545392,1.085510776,2.160657506,1.914204251,1.860272304,1.45649023,0.888712274,0.765808624,1.301290229,0.895840396
419.317749067551_28.506525,9.59894487,11.03348338,11.24981631,4.207049693,8.053466748,8.334027861,9.790835866,6.471791198,11.18476265,4.423532423,4.886175389,4.375001249,8.839430366,7.418863133,7.277160273,6.629257593,10.496588,7.062303735,7.979409837,3.661622794,7.119983663,5.497359974,9.213241019
527.176314476471_12.081584,0.606505718,0.286935115,1.410307982,1.602530202,3.155602446,2.869359358,1.982827421,9.806894048,8.946705341,9.086181427,11.52827336,2.771849479,12.04271462,3.138555253,10.75324743,2.898932666,0.281332278,1.083322253,0.04239514,4.408623296,2.926366388,3.595733791,0.596905906
415.234902209443_19.101387,8.81729947,7.77909373,14.20459008,10.88752895,12.81056142,5.641622861,6.973209612,9.362119969,5.687223532,10.01064788,9.939356052,9.846608073,9.639115646,7.373340585,10.01771092,10.28673292,13.3832364,8.670836286,14.14195895,14.51359359,14.96735764,10.396852,14.96735764
1252.95371000833_28.417183,3.152479548,10.99724822,10.33440996,2.694133155,2.228065133,0.579776532,4.090405171,2.535188537,1.489362118,2.317060669,0.729637058,5.173097494,3.231997472,1.627345661,2.613907556,0.852824412,4.591515335,1.525072479,7.77803703,2.59837066,2.584350937,1.734648113,4.274548611
627.480490939636_28.434692,11.20337306,10.88063289,10.62714246,0.874452839,0.63909298,1.15609465,1.872638456,4.272081689,4.378939365,3.875337438,1.492414109,10.03226037,8.019657548,4.137163052,1.580562474,4.908229159,5.903908486,3.902988958,9.052327011,3.131318635,2.295057082,5.301247988,3.390409378
707.427739271449_25.482355,10.74038022,0.996105023,10.53806576,6.177835131,6.704284955,5.31057526,5.306290748,8.482253154,11.87491566,5.562711054,11.82253866,4.883859302,8.148282842,2.898203232,12.20103893,3.776611714,10.39157363,2.558163355,6.402412798,7.203629951,5.055264784,5.58883013,6.106303738
676.504979780455_28.805317,3.144152109,2.067883492,4.676934737,2.696949187,1.854957189,1.831434781,0.359860238,1.891352878,0.861524434,2.458425669,0.046772872,10.27318162,1.557316059,2.030908164,1.523950531,1.83029807,2.227346134,1.092659933,4.62178356,2.579389274,2.32452765,3.510254216,0.940928487
496.866536433814_26.376932,1.220684816,2.170217528,2.411442817,1.407489903,1.109095651,1.382418245,9.734585731,1.547158291,1.554891389,1.262393537,1.018100193,1.551919299,1.111635066,0.167493251,1.175904686,2.3729208,0.01368165,3.153299033,1.795506345,2.022840213,1.66228536,1.66109943,1.493123764
495.391293004881_25.432076,10.14242119,3.958606355,9.741510753,7.129693212,8.960970811,4.47764353,5.492866326,4.506255291,11.62532172,5.35220053,11.37672219,4.964604638,8.276637914,3.399351767,11.77149711,2.648279413,9.773241317,2.025408235,6.769729337,6.310774063,6.08886741,6.087877853,6.18890554
656.501405776308_28.612762,11.11730076,10.91732062,10.56712473,1.834217704,1.869303923,0.655264348,2.933643536,3.319278938,3.435690644,0.432032208,2.161708656,6.88626274,7.2452228,3.987930327,2.223802204,2.691548566,4.234875488,2.610417584,7.273036071,0.540393373,1.295789329,6.047643793,4.251117412
244.190924787169_17.075365,12.64524686,11.93677668,11.55776056,14.96735764,10.22557666,12.95055954,13.54351367,10.89535408,11.72889541,13.50616874,10.81069022,8.554050491,11.30716473,12.04169265,12.46670231,14.52832176,10.4594172,12.13099383,12.06574192,12.30060754,10.08971558,9.943249743,11.44781757
722.040647230484_28.511946,2.948472834,3.726505269,3.144921833,2.587373265,2.363558542,2.501380892,9.702284116,2.780070639,2.794109251,2.820040997,2.702712194,2.600285361,0.217277832,2.581573464,2.38992588,2.869236852,0.114500389,2.545268145,2.295071326,2.783156875,2.586015153,2.361792167,1.94726312
483.370374426522_27.591938,11.41501501,10.84466912,11.00194172,5.513589645,9.607494331,11.93269735,7.114627137,3.89014853,8.520706721,12.4884876,10.21325136,3.936835866,11.26537737,6.874257558,9.886843692,10.97523476,7.685332852,12.49566702,8.679532202,7.124365716,6.56323352,8.464201075,8.484402165
405.249978145712_17.83975,8.119110448,8.43438501,13.62000515,10.40517025,13.72224313,10.2789073,10.62612067,8.155870692,6.241704395,5.220689397,9.108130936,3.481806076,13.81632234,9.171268171,8.226434303,9.539888106,12.97973192,13.11440249,13.78979101,14.0067684,14.56187502,8.907749467,12.28867723
685.01879921176_28.795761,8.222032979,2.433393095,4.271995139,3.282984921,1.886234117,2.108726493,0.190572497,2.339274931,3.298138679,2.512118808,0.046772872,10.5702804,3.898001332,2.829778109,0.033054361,2.509792753,2.868463453,2.469415888,8.580548414,2.463984231,0.062531428,5.143236965,1.815201424
713.668890398325_27.603222,5.734508195,7.182390176,8.102192945,1.925878554,9.87643144,10.46621589,3.264013409,5.357621426,4.08728427,5.65985829,6.259211908,3.27685929,3.834857561,1.195925221,8.89965596,9.840432909,4.828914038,12.21382973,10.39413961,5.832834149,5.707189147,1.762384252,6.08546702
463.233786424625_15.225805,11.81854364,5.175978522,11.91018835,5.546658541,11.24570246,10.7119188,7.006010124,8.909682623,7.239420153,6.821723668,8.384787957,7.133639901,11.09251479,9.080692556,8.98328647,7.268418879,10.20819372,8.497093866,13.19385159,6.707118089,12.8277208,7.292114825,12.65470074
534.257319169082_20.198408,0.585673866,1.512697732,1.093656107,1.102397115,1.024210672,0.896273461,9.650770282,0.994932933,2.821170941,1.211679209,0.046772872,0.325290399,0.310733136,1.639902853,0.777701784,1.276938203,1.424596641,1.441339742,1.006265216,0.825751303,0.062531428,1.124696092,0.997206163
423.243552863966_25.63182,3.459771405,3.601384198,5.135819152,1.372473592,2.670659661,1.858025893,10.84004983,1.652642149,10.35128285,0.343389754,3.994699204,0.189857123,2.333854961,1.655876868,0.707472131,1.912692394,3.734818327,0.247481979,0.487478547,1.362385237,1.493768319,0.092210581,1.04580267
393.286789920074_19.638191,0.624093745,6.846561358,3.582586105,3.662455025,3.054791729,1.200376115,9.62347972,6.070335968,3.967873683,3.857964762,1.592378875,2.083466831,2.384845626,6.537767958,3.415394191,3.062347873,3.2433741,4.757519841,2.681409274,1.181329138,3.334553441,2.789831786,3.126313425
418.24526955843_21.081453,1.935894704,1.93897816,1.076190685,1.529290808,0.335606555,1.298430548,10.68963372,1.788758048,7.504204524,1.447628156,0.691543354,1.891556235,0.888488121,1.532219364,2.750550897,0.588278706,2.176460626,1.085362151,1.282405991,0.103364196,0.55931029,1.154259064,0.206648923
760.590373634021_27.382282,1.138110378,10.36298254,3.438895871,1.407656218,0.09297184,3.003500625,9.160797281,1.494178669,5.357947839,1.972787086,5.406617116,0.198750522,4.446295911,0.576242869,4.680056263,1.174216014,2.549509298,3.802062331,2.603371013,1.708955749,1.101739098,0.517369062,0.492691544
693.530261448785_28.81864,2.594419186,0.656412509,3.153447122,4.296847423,0.708396294,2.945679828,0.756445113,2.852980564,2.897582668,3.931415219,1.180484862,10.53664073,4.460471813,2.314268325,1.563908627,3.088878021,2.180231495,2.316630125,4.959960389,4.042931943,0.831223111,9.972158481,3.459116248
661.564688750506_26.847631,11.31942392,7.63948747,10.85242925,6.453297582,7.670200678,11.23527661,8.850278969,3.512989578,11.22459033,13.33824762,9.800294482,8.282417913,9.878047023,5.184166863,10.90719848,12.42735538,6.669049722,11.2675464,9.520780587,7.241540599,0.548110451,7.580711969,6.820783544
619.375105390635_25.44504,12.14504886,7.777925001,11.42533306,7.670206825,7.453156724,7.83337784,3.536133139,7.830740278,12.6316027,8.526846591,12.6480533,7.183979906,9.687136958,4.087731929,12.99287992,3.748250661,11.48362753,4.025498889,7.631441241,8.078734363,6.898900547,6.152094574,6.028784219
730.573377576158_26.34505,1.183998223,10.34048526,2.143317397,0.848631883,2.140376318,1.731967368,2.834427976,2.013875187,2.858505094,1.595033764,2.02965272,3.953421521,0.025981298,2.522742322,2.163082278,1.864443167,0.795112796,0.046383514,2.295513238,1.19942635,1.828357422,0.739883839,0.061435667
545.261480160479_22.718067,1.858475994,1.410724312,1.807090403,2.448882349,1.917105568,1.970388966,4.32230857,2.776984638,10.32892853,0.070080711,0.825099377,2.599801224,1.22090954,3.004681312,2.805790078,1.863006138,2.932333901,1.959063261,0.760520546,2.095867286,1.734999087,2.415511051,1.814826587
569.913839199931_26.528446,1.704247185,3.466042572,1.741913516,1.351619058,1.554092992,1.509846796,9.544777102,1.499487394,0.160719365,1.138999304,1.948821549,0.71624743,0.793919781,2.851082146,0.033054361,1.421930935,1.698394569,0.607894272,1.454550869,0.924981674,1.505091172,0.752266192,1.477459143
518.878918131708_26.380968,0.911776593,0.772464687,1.140907655,1.208439077,1.23171388,0.567112036,9.522822314,1.815523928,2.579922574,1.487074508,0.967154338,1.324106608,0.744045852,1.757575992,1.163408161,2.017489688,1.454261132,1.651482518,0.171875172,2.304314468,0.618753006,1.340328762,1.57216478
430.390656036706_26.872831,12.55106335,12.12086032,11.60463972,7.060308089,7.777332093,12.3232686,11.23558256,10.5512385,11.79912094,12.59339541,8.198771591,9.71181206,3.295682844,9.77354291,10.68426949,5.952837878,11.67461844,10.77595958,7.900731752,4.556594469,7.684772389,5.902047234,8.26849337
244.227901469327_23.775341,11.02850272,10.73929102,10.4128764,9.219155217,7.051146732,4.870902743,3.934168474,13.9547616,12.37103742,12.6995755,8.888241821,0.962555351,2.699227161,9.67124863,7.481062096,7.575383678,11.57918108,6.339696279,1.992546195,7.590721681,4.367932069,12.30074431,12.19309554
496.344481629847_26.257391,4.149410377,11.43447732,6.165772089,0.693717295,4.451888091,0.939583563,5.764512206,1.292493494,3.60125069,1.195476808,2.335727467,1.454782662,2.34555068,3.222463325,2.509844917,2.007470428,4.437070015,1.020672703,1.85489717,2.198280052,3.723784563,1.022288801,3.642814155
964.721803946477_26.470955,1.295727973,5.953606504,0.448225211,4.987663096,4.34095725,4.654330073,10.59443501,5.254457133,4.779444518,4.451064876,4.669848393,5.00000077,4.361087951,5.232894697,3.879714045,4.514764217,3.917817802,4.599105759,4.7850799,4.480352606,5.415688192,4.691581329,4.560831502
758.055876035686_28.38565,1.091100822,3.986924811,4.170020123,3.068453432,2.771967892,2.624781955,9.386523843,2.94740308,1.031572546,2.324083048,0.046772872,3.023720028,2.488384046,2.995740189,2.061791606,2.708116196,1.624306266,2.469649329,2.916750257,2.754416583,3.138814312,2.711755268,2.998619696
887.668894004614_27.150692,4.733368469,2.212998065,3.617482283,2.290856658,0.09297184,0.081669286,2.995151363,3.081079136,2.134935469,0.477955198,1.004590725,12.00135473,3.273008173,2.406391992,0.890760785,2.053249592,3.367989258,3.304760965,5.691227794,0.341718378,1.071628713,3.723850407,2.277167058
1036.77959126543_27.040506,4.883062254,8.231031016,3.817697832,1.560759767,0.61902098,1.332141323,10.23712042,1.750982994,0.801015109,1.41104258,1.520046012,2.567988157,0.025981298,1.417086869,0.033054361,0.841190684,2.34262251,1.136091216,2.765192243,1.420718626,0.730260387,1.548645702,1.676678382
413.218965297446_17.150824,4.3021214,5.007902651,8.93481575,6.302419807,6.599733652,7.930514669,5.654526779,5.656490667,4.240870183,6.439422127,7.306773444,5.537053497,10.58570751,8.625490515,9.179765928,6.694941988,9.44993465,6.95358717,11.60319314,8.275648844,11.52283346,7.729854702,12.3731863
397.384177346565_28.32462,10.64534082,9.961746705,10.12474189,3.840836634,11.15291933,7.812831569,8.161131341,8.20262407,7.993826959,7.29243857,7.597130712,6.11006034,8.90561557,8.074168931,10.62271076,11.81466224,10.56329618,9.341898514,11.55195133,6.594884577,10.73860539,8.553989556,10.98029756
468.391559511468_25.358404,10.99258598,6.513314555,10.15573548,8.036227884,11.04502525,6.770044754,1.80675959,8.652092863,11.14134846,7.772402459,10.88686057,8.118543423,7.366173904,4.238625046,11.25826799,2.587069319,9.959972997,3.445046931,5.316640464,7.049954648,7.841822965,7.661817309,9.54474924
379.283589363017_15.944977,3.040928371,2.926351479,4.99104877,5.046839864,10.95624969,9.927046192,2.271713081,3.643092785,2.398388218,3.735828171,4.222775565,3.231997472,4.652661346,8.737553789,3.640388862,5.594940982,2.827320476,7.388155418,8.790047068,7.139771144,10.89794619,4.598317654,5.96704418
633.973705014978_28.300755,2.89884943,3.34785956,2.231394993,2.38801677,2.509279812,2.68440972,9.358637459,2.58201482,4.272523054,2.669885813,2.77625966,1.68043171,2.41131479,2.772476535,1.387304641,2.432072865,0.321630099,2.458165515,2.438126145,2.536968199,2.641619057,2.392861754,2.407113683
706.519733379149_28.406473,4.083355671,1.558141538,5.901037897,1.558589471,1.408909459,0.081669286,10.52802181,2.105665441,2.648894536,0.917778169,2.083696335,1.726486824,0.7127842,1.851069022,1.97638444,1.142871819,0.765663246,0.190743543,1.594988783,1.727594477,1.254875025,1.517886574,0.831769003
481.859979071348_26.706812,3.834119891,5.393280981,4.751028045,1.92030608,1.696420947,1.613192177,10.55860854,1.875379663,1.962037273,1.876603901,1.905451896,2.829195903,0.025981298,1.653297709,0.300972147,2.131582103,1.646891429,2.876883552,2.333904632,1.659575555,0.062531428,2.024147552,1.714356425
543.376412606665_16.164085,3.508490538,1.673722962,2.467680948,3.753749464,4.006374329,4.494024166,9.328507086,1.168368522,1.658166997,2.463892729,1.909099563,1.861775965,2.93007399,3.386422993,3.618365772,3.241634339,1.474992641,2.793353668,2.932948862,4.002521598,3.957893854,3.240246997,2.709662429
1194.9112230206_28.224228,4.392143852,10.25585732,9.989876176,1.919357198,1.510217742,2.180057418,0.013821816,1.54395833,1.197655293,1.854452281,0.979756006,1.184167201,3.436698938,1.697462659,0.604176611,2.266850251,5.521566084,1.819772846,6.749713246,0.438074958,3.093807548,1.574093566,2.019718132
771.584797700962_26.589226,2.440733925,2.642366064,5.105535717,1.262946073,0.53376794,1.114356284,2.814131155,3.021718424,3.207650545,1.390618814,0.719575487,11.83833377,2.918502258,0.167493251,1.544559364,0.109698196,0.884012712,1.516408356,3.992467097,0.592662872,0.062531428,4.527471764,1.222833428
279.232547542284_25.19676,9.697580271,4.131957416,9.014653307,6.848226727,9.067425323,9.301954269,5.010850584,3.934047282,5.440604597,8.350461303,7.94509304,8.443069662,8.463851712,9.401002076,9.257250308,8.31186506,9.708066369,11.02751317,7.514294283,8.82966894,5.561180147,11.50995587,6.946079053
502.882477789045_27.597725,7.997616528,10.42578032,9.771059799,3.660154728,1.623026782,1.451815687,2.688331499,5.172744139,4.140840856,1.524614559,2.39756788,12.13542627,7.104589395,3.895521017,0.236100739,2.947570063,4.369456853,4.601512203,5.675004456,0.103364196,0.816699902,5.623082708,3.602388716
387.202301516964_16.102974,6.027637399,5.829920504,10.7834091,6.713841277,10.49784999,8.884471126,5.202355003,8.357592654,5.212256589,5.677125017,9.314356828,5.769308463,10.64456604,8.523835741,8.641655815,9.422392473,9.572609496,7.684772389,11.64546048,12.19075353,11.62858029,8.780527436,12.98723951
303.254105440159_25.9718,10.91469312,11.07740723,10.6843874,0.971337441,2.490854934,10.74782156,11.67115018,10.46667564,10.68571258,12.39634476,7.455718414,9.598509166,9.775194083,3.272258112,10.42242803,12.22648978,8.692830821,10.98569975,9.360243657,2.503357418,2.015543723,0.306603358,2.143963366
450.272140892468_19.107271,4.625491361,4.718318212,10.30543836,9.103600381,8.718057869,5.559941789,5.876135742,4.321438091,4.747859149,6.329954325,6.034014058,4.408062281,5.250796985,4.612253481,7.237076661,6.652152145,10.30617158,5.888221873,11.26295231,8.478722574,10.63160241,8.073847271,11.25037728
575.347257488385_24.070118,4.567606148,9.193773628,4.114628853,4.282715251,8.61400666,7.012794428,4.166938812,3.436934042,3.154597942,6.511871612,5.458310024,3.910033761,5.879876184,2.947965632,3.24645644,5.840248903,5.558619633,5.138244246,7.090023392,6.727733324,10.85605884,5.867818227,10.89718363
664.512571120477_28.611267,10.77274735,5.982865937,10.06941791,3.44880709,1.475992012,0.349811888,0.874623735,3.544210594,4.332461013,3.363681597,1.938382598,10.00319287,7.436122694,3.078357421,0.802137773,3.402844981,4.467403128,2.306251446,6.58065653,0.103364196,1.797908399,4.905016095,3.180995959
625.249046970737_13.2880945,6.941075697,10.39175392,5.182207785,7.967140042,7.092531825,11.53158578,3.006556013,11.57005402,9.009527791,11.98704801,4.354996457,8.777419728,12.25393272,7.964046065,9.2913239,6.248329615,2.817406351,10.85605884,6.228136564,9.759859028,5.278388934,8.70896293,7.167265162
399.242979822943_24.667065,0.776232521,1.539250642,0.769019933,1.416770985,4.390324634,1.998398958,1.443267394,2.760754027,11.49247669,2.897200647,13.17010301,1.27571715,3.140749897,2.340827532,1.185118235,2.279452887,2.665996692,1.357682592,1.372785542,2.652340218,4.194478884,2.465977134,2.662111531
539.417490022209_25.42515,8.458373449,6.882845168,9.112643555,4.266193489,6.723047313,2.495124112,5.359707778,3.76986257,11.09313363,3.200880778,10.77008705,10.0646656,4.973656985,2.480168443,11.12681298,1.889366633,7.361952292,2.500246132,6.10079576,7.276588526,8.044603459,2.902230925,7.80000549
